Date,Close, Volume
12/6/2013,47.10,3607605
12/5/2013,46.48,4218020
12/4/2013,46.86,3559459
12/3/2013,46.87,3170853
12/2/2013,46.63,3557566
11/29/2013,47.06,1519179
11/27/2013,47.07,3276570
11/26/2013,47.44,3647503
11/25/2013,47.55,2935845
11/22/2013,47.70,2622652
11/21/2013,47.63,2524186
11/20/2013,47.51,3390518
11/19/2013,48.01,3682681
11/18/2013,48.32,4476672
11/15/2013,47.84,3113490
11/14/2013,47.59,3672672
11/13/2013,47.32,4503684
11/12/2013,47.37,7700471
11/11/2013,47.10,5700899
11/8/2013,46.25,3783588
11/7/2013,46.25,3239669
11/6/2013,46.74,3400873
11/5/2013,46.57,5175777
11/4/2013,47.19,3914860
11/1/2013,47.04,2989236
10/31/2013,46.84,3948648
10/30/2013,47.10,3836936
10/29/2013,47.27,3176316
10/28/2013,47.30,12238540
10/25/2013,47.28,9816752
10/24/2013,46.72,8961896
10/23/2013,46.52,6063639
10/22/2013,45.24,3655269
10/21/2013,44.64,2406815
10/18/2013,44.82,2688619
10/17/2013,44.63,3592336
10/16/2013,43.77,2531174
10/15/2013,43.48,2292295
10/14/2013,44.07,2827392
10/11/2013,44.27,1890961
10/10/2013,44.14,2682253
10/9/2013,43.68,3545876
10/8/2013,43.49,2698602
10/7/2013,43.14,1767931
10/4/2013,43.34,1707820
10/3/2013,43.33,3108262
10/2/2013,43.88,2358979
10/1/2013,43.72,2163654
9/30/2013,43.35,2429324
9/27/2013,43.44,1803698
9/26/2013,43.64,1724295
9/25/2013,43.79,2153234
9/24/2013,44.21,2428368
9/23/2013,44.33,3713607
9/20/2013,43.73,3950203
9/19/2013,44.67,4187049
9/18/2013,44.81,6238023
9/17/2013,43.20,2611883
9/16/2013,42.82,3007102
9/13/2013,42.62,4836639
9/12/2013,41.92,3227753
9/11/2013,42.21,4358733
9/10/2013,42.89,2129194
9/9/2013,42.67,2010804
9/6/2013,42.56,3384142
9/5/2013,42.14,2250313
9/4/2013,42.21,2316383
9/3/2013,42.16,2556847
8/30/2013,42.80,1940607
8/29/2013,42.69,1719160
8/28/2013,43.01,2068375
8/27/2013,42.77,3319644
8/26/2013,42.65,2297938
8/23/2013,43.16,4323837
8/22/2013,42.69,3055826
8/21/2013,42.37,3476569
8/20/2013,42.82,4814803
8/19/2013,42.68,2623655
8/16/2013,43.31,3008068
8/15/2013,43.78,2388560
8/14/2013,44.37,2791459
8/13/2013,44.31,2176528
8/12/2013,44.69,2688370
8/9/2013,45.00,2556146
8/8/2013,45.52,2114427
8/7/2013,45.47,3127479
8/6/2013,45.79,3404626
8/5/2013,46.39,1623571
8/2/2013,46.58,1887080
8/1/2013,46.55,2983514
7/31/2013,46.35,3230454
