Date,Volume,Close
24/09/2010,162372000,39.55
27/09/2010,120708700,39.39
28/09/2010,258760600,38.81
29/09/2010,117411000,38.88
30/09/2010,168347900,38.39
1/10/2010,112035700,38.22
4/10/2010,108825500,37.7
5/10/2010,125491800,39.09
6/10/2010,167717200,39.12
7/10/2010,102099900,39.13
8/10/2010,164600800,39.78
11/10/2010,106938300,39.96
12/10/2010,139636000,40.39
13/10/2010,157523100,40.6
14/10/2010,108824100,40.9
15/10/2010,230548500,42.58
18/10/2010,273252700,43.02
19/10/2010,308196000,41.87
20/10/2010,180406100,42.01
21/10/2010,137865000,41.87
22/10/2010,93194500,41.6
25/10/2010,98115500,41.78
26/10/2010,98232400,41.67
27/10/2010,99750700,41.64
28/10/2010,137762800,41.29
29/10/2010,107627800,40.72
1/11/2010,105972300,41.15
2/11/2010,108482500,41.85
3/11/2010,127087100,42.32
4/11/2010,160622000,43.06
5/11/2010,90313300,42.9
8/11/2010,70439600,43.1
9/11/2010,95886000,42.76
10/11/2010,96056800,43.02
11/11/2010,90321000,42.84
12/11/2010,198961700,41.67
15/11/2010,100901500,41.54
16/11/2010,164412500,40.8
17/11/2010,119862400,40.65
18/11/2010,123622800,41.73
19/11/2010,96210800,41.5
22/11/2010,98268800,42.39
23/11/2010,129861900,41.77
24/11/2010,103431300,42.59
26/11/2010,59396400,42.61
29/11/2010,111446300,42.87
30/11/2010,125464500,42.09
1/12/2010,115437700,42.8
2/12/2010,115709300,43.04
3/12/2010,85523200,42.94
6/12/2010,112120400,43.31
7/12/2010,97863500,43.05
8/12/2010,80483900,43.43
9/12/2010,73537800,43.26
10/12/2010,65627800,43.37
13/12/2010,109953900,43.52
14/12/2010,87752000,43.33
15/12/2010,104328000,43.34
16/12/2010,80507700,43.46
17/12/2010,96732300,43.37
20/12/2010,96402600,43.59
21/12/2010,64088500,43.86
22/12/2010,66480400,43.99
23/12/2010,55789300,43.78
27/12/2010,62454000,43.92
28/12/2010,43981000,44.03
29/12/2010,40784800,44.01
30/12/2010,39373600,43.79
31/12/2010,48377000,43.64
3/1/2011,111284600,44.59
4/1/2011,77270200,44.82
5/1/2011,63879900,45.18
6/1/2011,75107200,45.15
7/1/2011,77982800,45.47
10/1/2011,112140000,46.33
11/1/2011,111027000,46.22
12/1/2011,75647600,46.59
13/01/2011,74195100,46.76
14/01/2011,77210000,47.14
18/01/2011,470249500,46.08
19/01/2011,283903200,45.84
20/01/2011,191197300,45.01
21/01/2011,188600300,44.2
24/01/2011,143670800,45.65
25/01/2011,136717000,46.19
26/01/2011,126718900,46.52
27/01/2011,71256500,46.43
28/01/2011,148014300,45.47
31/01/2011,94311700,45.9
1/2/2011,106658300,46.68
2/2/2011,64738800,46.58
3/2/2011,98449400,46.46
4/2/2011,80460100,46.88
7/2/2011,121255400,47.6
8/2/2011,95260200,48.05
9/2/2011,120686300,48.45
10/2/2011,232137500,47.96
11/2/2011,91893200,48.28
14/02/2011,77604100,48.59
15/02/2011,71043700,48.69
16/02/2011,120289400,49.13
17/02/2011,132645800,48.47
18/02/2011,204014300,47.42
22/02/2011,218138900,45.81
23/02/2011,167963600,46.35
24/02/2011,124975200,46.39
25/02/2011,95004700,47.1
28/02/2011,100768500,47.78
1/3/2011,114034200,47.26
2/3/2011,150647700,47.64
3/3/2011,125197100,48.64
4/3/2011,113316700,48.7
7/3/2011,136530800,48.07
8/3/2011,89079200,48.13
9/3/2011,113326500,47.68
10/3/2011,126884800,46.9
11/3/2011,117770100,47.62
14/03/2011,108989300,47.83
15/03/2011,180270300,46.73
16/03/2011,290502800,44.64
17/03/2011,164855600,45.27
18/03/2011,188303500,44.73
21/03/2011,102350500,45.9
22/03/2011,81480700,46.16
23/03/2011,93249100,45.89
24/03/2011,101178000,46.67
25/03/2011,112227500,47.56
28/03/2011,77338800,47.41
29/03/2011,88225200,47.48
30/03/2011,82351500,47.16
31/03/2011,68504800,47.15
1/4/2011,104665400,46.61
4/4/2011,115021200,46.16
5/4/2011,120682800,45.85
6/4/2011,100634800,45.73
7/4/2011,93361800,45.74
8/4/2011,94383800,45.33
11/4/2011,99736700,44.75
12/4/2011,106409800,44.97
13/04/2011,86555000,45.47
14/04/2011,75450200,44.97
15/04/2011,113401400,44.3
18/04/2011,152474700,44.89
19/04/2011,104844600,45.71
20/04/2011,175166600,46.32
21/04/2011,188452600,47.44
25/04/2011,66636500,47.76
26/04/2011,84700000,47.41
27/04/2011,89053300,47.37
