,0
732,ICLR
733,IRT
734,ICUI
735,IPWR
736,IHC
737,IDA
738,SILC
739,SIMO
740,INVE
741,IROQ
742,IKNX
743,ILMN
744,IMAX
745,IMGN
746,IMMU
747,INFY
748,ING
749,ISG
750,ICPT
751,VKI
752,IDCC
753,VBF
754,I
755,IGT
756,INWK
757,IQI
758,INOD
759,INS
760,INGN
761,INUV
762,INO
763,VLT
764,INTC
765,IVAC
766,NSP
767,IPAR
768,VCV
769,VMO
770,IBKR
771,INAP
772,INTU
773,IPI
774,OIA
775,IVZ
776,VKQ
777,ALSK
778,SOCL
779,IR
780,TILE
781,XENT
782,VVR
783,IRET
784,IO
785,IRMD
786,BANF
787,IRDM
788,RIOT
789,BBGI
790,BLFS
791,JOF
792,IRM
793,ITT
794,ITI
795,ITRN
796,IVH
797,MAYS
798,BKEPP
799,ANDE
800,JPM
801,JASN
802,JAKK
803,JCTCF
804,BNDX
805,AMSWA
806,ATHX
807,AUBN
808,ARAY
809,EXD
810,JBSS
811,BTO
812,JHS
813,JHI
814,HPF
